Vec_Gram,Classifier,Ac,crossval_train_score_mean,crossval_test_score_mean,crossval_train_score_std,crossval_test_score_std,Time.2
cv_1,MultinomialNB(),0.7953144266337855,0,0.7896325315173482,0,0.01789131584246584,1.9508442878723145
cv_1,BernoulliNB(),0.7792848335388409,0,0.7781151222250698,0,0.02452562180718512,1.9472661018371582
cv_1,LogisticRegression(),0.7842170160295932,0,0.7849177436873772,0,0.0160277428450024,2.322425365447998
cv_1,LinearSVC(),0.7965474722564735,0,0.7836945776736353,0,0.01535578142601302,2.147684335708618
cv_1,AdaBoostClassifier(),0.6929716399506781,0,0.7143835658233564,0,0.0275719501193084,8.620206356048584
cv_1,RidgeClassifier(),0.7953144266337855,0,0.7870098487899535,0,0.018335718846341015,2.075345039367676
cv_1,PassiveAggressiveClassifier(),0.7681874229346486,0,0.754365747690355,0,0.018651654516893667,2.1791114807128906
cv_1,Perceptron(),0.7422934648581998,0,0.7527978130072371,0,0.015584447997974416,2.009214401245117
cv_1,RandomForest Classifier,0.781750924784217,0,0.7711248611772172,0,0.019402281171944088,35.78711771965027
cv_2,MultinomialNB(),0.8249075215782984,0,0.8088324851413857,0,0.013654296629613146,3.8738901615142822
cv_2,BernoulliNB(),0.7546239210850801,0,0.7381329403580713,0,0.016229777702083257,3.990835189819336
cv_2,LogisticRegression(),0.7928483353884094,0,0.7980107152882022,0,0.017389690667340963,6.615925312042236
cv_2,LinearSVC(),0.815043156596794,0,0.8112760712237153,0,0.013690499146274012,4.238973617553711
cv_2,AdaBoostClassifier(),0.6991368680641183,0,0.7203212145620523,0,0.02345048722090864,20.86932873725891
cv_2,RidgeClassifier(),0.8076448828606658,0,0.8119750668179988,0,0.013807291366464728,4.676935434341431
cv_2,PassiveAggressiveClassifier(),0.8212083847102343,0,0.8046415626258557,0,0.018909140181992773,4.4341161251068115
cv_2,Perceptron(),0.7928483353884094,0,0.7917237213048731,0,0.022942433785458904,4.404825925827026
cv_2,RandomForest Classifier,0.7879161528976573,0,0.7812509915913057,0,0.016001347161137987,88.09852409362793
cv_3,MultinomialNB(),0.8224414303329223,0,0.8090067001061765,0,0.01311295886785954,6.8289265632629395
cv_3,BernoulliNB(),0.6720098643649816,0,0.6581688817290912,0,0.01867456773691449,6.952198505401611
cv_3,LogisticRegression(),0.7854500616522812,0,0.7964403397649471,0,0.0205318115000401,14.113896131515503
cv_3,LinearSVC(),0.8249075215782984,0,0.8104071321348808,0,0.014156423666016014,7.307762861251831
cv_3,AdaBoostClassifier(),0.6855733662145499,0,0.7117663749862702,0,0.0225370126917586,27.31980061531067
cv_3,RidgeClassifier(),0.8187422934648582,0,0.8104068270298637,0,0.016799975372913275,7.657214641571045
cv_3,PassiveAggressiveClassifier(),0.8224414303329223,0,0.8107531212243254,0,0.016388771919090092,7.393864154815674
cv_3,Perceptron(),0.8236744759556104,0,0.7966154700447895,0,0.017272698146513867,7.3145575523376465
cv_3,RandomForest Classifier,0.7644882860665845,0,0.7767159106164341,0,0.013917535168817016,154.1543412208557
tf_1,MultinomialNB(),0.7768187422934648,0,0.7952208350114109,0,0.01817570829661449,1.9080982208251953
tf_1,BernoulliNB(),0.7792848335388409,0,0.7781151222250698,0,0.02452562180718512,1.9320368766784668
tf_1,LogisticRegression(),0.7842170160295932,0,0.7826465419397357,0,0.020282052052185372,3.55839467048645
tf_1,LinearSVC(),0.7854500616522812,0,0.7707764312476354,0,0.017259907435846007,4.749444484710693
tf_1,AdaBoostClassifier(),0.7077681874229347,0,0.7187465675685571,0,0.02854545952168019,5.862198352813721
tf_1,RidgeClassifier(),0.7768187422934648,0,0.7590753487350346,0,0.01780335086616684,2.4004716873168945
tf_1,PassiveAggressiveClassifier(),0.7755856966707768,0,0.747208594198123,0,0.02120850600599125,2.125711679458618
tf_1,Perceptron(),0.7274969173859432,0,0.7465056322386164,0,0.017644837828081288,2.076531410217285
tf_1,RandomForest Classifier,0.7768187422934648,0,0.7702547016683142,0,0.023555156521748163,38.85426616668701
tf_2,MultinomialNB(),0.8199753390875463,0,0.8060426048645943,0,0.015176744998617576,4.417223215103149
tf_2,BernoulliNB(),0.7546239210850801,0,0.7381329403580713,0,0.016229777702083257,4.248429536819458
tf_2,LogisticRegression(),0.813810110974106,0,0.8055166038150331,0,0.014877060576383666,11.464445352554321
tf_2,LinearSVC(),0.8039457459926017,0,0.7889283491377732,0,0.01741342444776384,6.933334589004517
tf_2,AdaBoostClassifier(),0.7065351418002466,0,0.7163032865912446,0,0.029188901172242643,14.095260381698608
tf_2,RidgeClassifier(),0.8014796547472256,0,0.7899748593465871,0,0.018037239938964944,6.510590553283691
tf_2,PassiveAggressiveClassifier(),0.7743526510480888,0,0.7690293999194522,0,0.0162991957665497,4.7520177364349365
tf_2,Perceptron(),0.8051787916152897,0,0.7873610246646896,0,0.01994862345366752,4.667224168777466
tf_2,RandomForest Classifier,0.781750924784217,0,0.7803771708221969,0,0.020764408310978612,99.31848406791687
tf_3,MultinomialNB(),0.8187422934648582,0,0.8091851865412074,0,0.017182869566910956,7.253891468048096
tf_3,BernoulliNB(),0.6720098643649816,0,0.6581688817290912,0,0.01867456773691449,7.308307647705078
tf_3,LogisticRegression(),0.8101109741060419,0,0.8063901194791248,0,0.019056240006538386,20.862009286880493
tf_3,LinearSVC(),0.7903822441430333,0,0.7856133831264722,0,0.01821373935625479,12.198177099227905
tf_3,AdaBoostClassifier(),0.7065351418002466,0,0.7163032865912446,0,0.029188901172242643,26.151718616485596
tf_3,RidgeClassifier(),0.7940813810110974,0,0.7891022589975469,0,0.019349681289120294,11.439890146255493
tf_3,PassiveAggressiveClassifier(),0.7792848335388409,0,0.7606503008335468,0,0.018532728424475505,7.885303974151611
tf_3,Perceptron(),0.8101109741060419,0,0.7946948339618497,0,0.01958666992675416,7.669410228729248
tf_3,RandomForest Classifier,0.782983970406905,0,0.78264715214977,0,0.02301887767226701,170.04400253295898
